SMILES T P density einter compress
CC(CC(C)(C)C)O 394 750 7.922e-01 -4.530e+01 8.228e-05
CCC(CC)(CC)O 360 1 7.517e-01 -4.093e+01 1.807e-04
CCC(CC)(CC)O 384 50 7.340e-01 -3.891e+01 1.962e-04
CCC(CC)(CC)O 433 50 6.843e-01 -3.435e+01 2.902e-04
CCC(CC)(CC)O 433 1000 7.783e-01 -4.067e+01 8.968e-05
CCC(C(C)(C)C)O 368 1 7.378e-01 -4.034e+01 2.197e-04
CCC(C(C)(C)C)O 389 50 7.241e-01 -3.854e+01 2.350e-04
CCC(C(C)(C)C)O 411 50 7.007e-01 -3.616e+01 2.423e-04
CCC(C(C)(C)C)O 325 250 8.033e-01 -4.781e+01 7.855e-05
CCC(C(C)C)(O)C 322 1 7.902e-01 -4.550e+01 1.148e-04
CCC(C(C)C)(O)C 377 1 7.357e-01 -3.905e+01 1.727e-04
CCC(C(C)C)(O)C 404 50 7.171e-01 -3.687e+01 2.518e-04
CCC(C(C)C)(O)C 322 250 8.101e-01 -4.727e+01 9.197e-05
CCC(C(C)C)(O)C 268 500 8.673e-01 -5.583e+01 4.480e-05
CCC(C(C)C)(O)C 322 750 8.381e-01 -4.939e+01 6.208e-05
CCC(C(C)C)(O)C 268 1000 8.860e-01 -5.579e+01 3.189e-05
CCC(C(C)C)(O)C 295 1000 8.689e-01 -5.354e+01 3.983e-05
OC(C(C)C)C(C)C 313 50 7.947e-01 -4.810e+01 1.057e-04
OC(C(C)C)C(C)C 337 50 7.741e-01 -4.528e+01 1.162e-04
OC(C(C)C)C(C)C 384 500 7.709e-01 -4.283e+01 8.929e-05
OC(C(C)C)C(C)C 431 500 7.361e-01 -3.898e+01 1.355e-04
CCC(CO)(CC)C 268 1 8.485e-01 -5.910e+01 5.423e-05
CCC(CO)(CC)C 356 1 7.710e-01 -4.632e+01 1.312e-04
CCC(CO)(CC)C 268 50 8.529e-01 -5.844e+01 5.078e-05
CCC(CO)(CC)C 386 50 7.474e-01 -4.290e+01 1.749e-04
CCC(C(C)C)CO 328 1 7.984e-01 -5.357e+01 1.120e-04
CCC(C(C)C)CO 448 1 6.868e-01 -3.894e+01 3.228e-04
CCC(C(C)C)CO 268 50 8.531e-01 -6.272e+01 6.191e-05
CCC(C(C)C)CO 358 50 7.761e-01 -4.975e+01 1.096e-04
CCC(C(C)C)CO 478 50 6.626e-01 -3.622e+01 4.186e-04
CCC(C(C)C)CO 298 250 8.391e-01 -5.970e+01 6.966e-05
CCC(C(C)C)CO 268 1000 8.907e-01 -6.466e+01 3.161e-05
CCC(C(C)C)CO 478 1000 7.642e-01 -4.336e+01 9.441e-05
OCC(C(C)C)(C)C 328 1 7.972e-01 -4.959e+01 1.078e-04
OCC(C(C)C)(C)C 388 1 7.422e-01 -4.223e+01 1.712e-04
OCC(C(C)C)(C)C 298 50 8.253e-01 -5.397e+01 8.616e-05
OCC(C(C)C)(C)C 478 250 6.969e-01 -3.620e+01 2.389e-04
OCC(C(C)C)(C)C 268 500 8.748e-01 -5.980e+01 3.856e-05
OCC(C(C)C)(C)C 478 750 7.484e-01 -3.974e+01 1.024e-04
OCC(C(C)(C)C)C 298 1 8.290e-01 -5.696e+01 7.863e-05
OCC(C(C)(C)C)C 268 50 8.540e-01 -5.983e+01 4.950e-05
OCC(C(C)(C)C)C 451 50 6.946e-01 -3.800e+01 2.845e-04
OCC(C(C)(C)C)C 481 50 6.657e-01 -3.523e+01 4.678e-04
